date,ora,talgo,vote,gobtc,opul,tiny,monko,niko,goeth,alpha,gora,deathos,daffir,shame,stbl,golddao,malgo,coop,xalgo,compx,algo_vol,price,usd_vol
2025-07-21,35036.11527417529,2391173.653953735,101394.38054453024,984701.910015,719085.4235650185,473653.1865486344,198208.18239463939,1430.3530391370834,100765.05410578978,91623.36034183932,88955.10451919948,332.8835171779048,5318.607738592633,18.694759278142236,29416.164439199994,995037.1036674222,595108.1264448602,59696.42214770354,6374315.692558437,6267.052922157164,13251537.472496526,0.291531923312989,3863246.2062110575
2025-07-22,49370.18130561109,6406092.143700297,164737.13522170365,935706.0243398983,349866.85753751744,284437.3994724953,244932.0287031707,15708.969224051056,49388.4121188,143226.2396893132,38666.32555130691,30.256465373057427,6197.484889196915,,25999.378422505994,903848.6319307584,56998.743472989976,27944.401399895552,11746610.6464088,14340.520968591532,21464101.780822273,0.2985037534373361,6407114.9457364585
2025-07-23,22355.156247780815,3100040.048808512,117829.26755466154,775707.1432792002,1072010.7718513557,120141.43687360546,174822.97118942894,5687.748665536799,95183.42517873002,92970.88881262347,69146.37696355497,139.67130360399034,3941.415167923739,21.775772753910704,30948.937126385204,57307.87097491945,52867.0229443552,25641.225245833924,8770153.039144645,20125.546659394437,14607041.739764806,0.296237747365577,4327157.140662885
2025-07-24,9440.288483310815,3333999.0599058475,211116.0643294872,612408.2444352987,228128.30741800365,406141.1310422174,80618.51269342337,10568.244059502013,90689.32293089999,150568.24700216195,70118.78524978954,15.183759938769448,3327.8673666388986,,39133.507022676,82327.5750844278,44050.43595326001,90378.80540439737,5859470.808588189,50247.13910384508,11372747.529833317,0.2671479741324583,3038206.4629148897
2025-07-25,15063.5647044839,3125061.9898761264,236249.96552949664,409285.54564400035,445697.2571481876,91452.90457830911,76831.75631559014,3434.7315222908355,104217.65259120004,65312.63414154245,33721.99599171204,107.14852274282823,3704.5071923915243,2.8636277251950175,44234.03915822581,98970.70869726804,397607.5504810798,23233.638192764327,8812798.5971405,34498.12835813364,14021487.179413771,0.2619505424970709,3672936.173263162
2025-07-26,7092.376210159817,2448737.91998653,66808.30536858198,415439.17906939914,269721.4335034872,71026.76175413482,37726.03613955483,933.9617524072148,66687.31616520001,156554.05572169734,55667.059676858174,284.8908793178557,1436.7512889256393,110.86194435686085,7823.241537494298,16787.210899139198,36113.5608022013,10200.799462325329,4778834.2011779845,22971.944733668966,8470957.868073424,0.2668654206897246,2260605.7351083467
2025-07-27,15892.333626187963,1362659.3946523115,72788.5416593566,313368.8201552999,412404.7138785067,44105.45204069499,144933.48861552347,1149.9492346025365,167204.53392191994,115049.24028832595,45727.13783344689,10.990793748502746,2003.9316300035775,,15975.929333238999,40193.48640992689,31546.59958819949,10667.717270156209,8320916.209309209,31367.283364540097,11147965.7536052,0.2751985484478546,3067903.993538544
2025-07-28,195911.45092673876,1263874.82740684,116184.04562098118,540428.7917628001,472314.7454059679,723945.1942565434,547106.6230830912,1077.5500753473937,90288.46496875,114431.96216531549,234737.2403237395,56.58944819379751,2327.0305895670244,10.325039746408008,21720.689046213003,45752.589625835404,29501.19201546179,19945.211440296272,3292793.099330103,25156.39245574001,7737564.014987271,0.285605440017333,2209890.3751627216
2025-07-29,34644.78166486747,1233335.5606499861,70110.53104772224,581328.3055205987,145647.44611001748,70284.56945578601,182005.80347155174,4079.8352596124655,48641.70998051999,44887.85239339881,23368.54411459785,1.3993999166900843,3492.2165853080423,,18187.607285793405,14393.924791857005,27797.2270395456,19052.470923897436,5486994.239660905,18020.2615042225,8026274.286860104,0.2639996636294477,2118933.7119287527
2025-07-30,22120.795171551115,1668133.909878943,123162.4133573241,729455.3399329,153715.83395918447,105258.8246174416,91345.83549102154,24287.231127279185,41857.23632352002,81562.42463368356,160053.82583066856,92.41000163464112,2752.7211738240417,3.922782530097887,42296.13201924,20445.175769635596,40159.902705077206,19985.935842766918,6994339.801335821,15614.808034395206,10336644.479988443,0.2602206910741734,2689808.769970632
2025-07-31,14003.457893949304,3238751.917765514,133708.60306711472,673855.4158325002,166606.75493813318,277199.742712035,176159.63421320007,6961.652671338183,69730.28138975998,167529.23400316003,306557.1016232128,188.79618213280642,15700.879318930189,17.810710275047466,27485.720275501,24531.460425886504,36440.8130840461,63055.277077431936,4701310.971312115,39806.027495004884,10139601.551991241,0.2538686291443732,2574126.7460741755
