date,xalgo,hog,folks,ora,vote,talgo,alpha,hay,gobtc,tiny,opul,pow,iga,mit,wbtc,goeth,coop,mist,silver,finite,algo_vol,price,usd_vol
2025-11-21,14041474.045925004,520428.4219762161,3804535.0688517573,60215.80014528536,545902.9149114718,5125331.718307693,5208549.1205480285,1840432.581769758,1722771.8311752002,220512.6746525976,221273.34796143396,550403.3427205896,184355.7329974,74693.66134500003,1124682.944439,58261.53044243002,66640.64946265124,38524.4506799,71758.10969189797,87868.83584335112,35568616.78384666,0.14413074506537,5126531.238000443
2025-11-22,4329053.971381229,263201.523487696,918228.9758245113,35419.45984628202,127712.01312189014,2890120.5655192193,742021.5801182871,2327507.1037209095,290436.12919360015,139828.68442689354,72840.97786540624,638361.6957001647,32275.908323999993,72600.21587130001,70612.35871679994,221110.55187153965,13741.960605555212,30058.394858159998,33130.642954648,62294.117800945365,13310556.831209036,0.1368421238708534,1821444.8666863407
2025-11-23,6232886.207659542,256969.37932310996,1539358.8162072424,22239.96057415602,175469.2534660402,1578689.9938655784,1172055.2125488017,251848.704640257,523896.4582520001,66953.72454861239,250094.7897274686,83618.991077476,46280.0760789,25433.762535999995,38718.9255112,67331.53877708,16896.256013192622,25037.28661455,12583.787840888002,18176.90918724782,12404540.034449343,0.1356340624623294,1682478.1578489677
2025-11-24,15299027.092637707,814467.9834944679,1440836.0631972293,212433.22640605146,118838.29332411269,928894.4011441976,797019.9323112476,274928.9239369689,1218070.4950756,57310.53419198061,166188.87045713345,82433.3621818654,19372.3582666,31619.658706200007,1209361.0275006006,48088.19769774001,13748.376532549131,46941.37247952,278908.3591167359,20036.488893190442,23078525.0175517,0.1437067345528734,3316539.46856915
2025-11-25,2908781.4007579526,913818.6560544156,1382379.041576785,62222.138197839144,104143.3208183054,2641752.5043738196,745572.6035638909,1752521.020525908,1223151.5508095992,113768.18181756118,245855.94985406913,400410.7659121342,19635.0065552,111864.75264240001,171767.7829176,19539.81174509,11050.22899611245,56753.79926588,15989.600137800999,22139.83928535782,12923117.955807723,0.1436819910014499,1856819.3178370409
2025-11-26,2720558.6675143675,533810.2568061784,887336.9228705671,55147.540936259844,101271.42208248608,1014194.9814644359,1488760.534839468,341498.8572951293,148071.02858399999,162563.56541963122,107829.99478517976,340525.6010250934,20705.103422299995,37848.8349568,638987.2942524003,19772.128972049995,51028.08620495195,30926.676235619943,32591.068841254,40064.41197752279,8773492.978485694,0.1462218246420419,1282876.151798321
2025-11-27,4749710.886893404,144723.56850337793,538897.900259256,24250.885982171098,104191.35704744697,912276.1866161989,1294815.9454387813,776702.2820950458,1813672.4833032,179447.25015340743,437966.8793753054,35132.59902853872,54721.849214199996,36034.36332599999,688677.4597325004,256543.27695936008,22978.775522830227,36213.0672708,205425.44797088584,22299.66834379254,12334682.133036502,0.1462953620197629,1804506.7880512762
2025-11-28,2068874.068228242,200529.1603911094,588436.5695119652,11452.787967930377,62892.58529316879,835535.71974048,348619.26591107284,159801.74838924073,264723.0033861001,164372.98877729234,355946.5140473613,50728.6814135919,39449.175151099975,33000.7071376,32413.8815442,12125.060531010004,12590.140217604201,29114.5579089,53738.336525369996,17955.050427699516,5342300.002501039,0.1443480561566615,771150.6207667527
2025-11-29,3529208.287262302,965773.9821875999,786685.438320444,21468.77545685541,128632.40256947692,1281243.4253670631,597825.9752299283,1146683.23696915,1196565.0649199996,156752.49901234012,37096.25852406274,438839.0085240989,32014.146226200006,60479.567682799985,85162.31946400001,44373.23241740999,40804.58382811702,42490.5900426,24918.538136782994,47753.8707091498,10664771.20285038,0.1436469400806715,1531961.7499499195
2025-11-30,8872952.761422185,1098014.106441037,1323166.0020391422,305891.4460280424,140814.63214312852,1228540.0516158966,627642.370666881,1706271.5361350083,629030.5300059998,966956.4526968957,82768.8994439705,1304232.6804630468,35801.5752781,346992.86833099986,38164.22165919993,22971.99227406001,33294.946688039105,163908.60400096013,68276.71360977601,22359.564655430313,19018051.9555978,0.1399680190905102,2661919.0591854276
